Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,260,260,0,0,0,0,0,0,0,0,260,260,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,228,228,0,0,0,0,0,0,0,0,228,228,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,163,163,0,0,0,0,0,0,0,0,163,163,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,150,150,0,0,0,0,0,0,0,0,150,150,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,586,586,0,0,0,0,0,0,0,0,586,586,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,390,390,0,0,0,0,0,0,0,0,390,390,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,927,927,0,0,0,0,0,0,0,0,927,927,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,196,196,0,0,0,0,0,0,0,0,196,196,0
